id,name,code,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"White – British",A,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,"White – Irish",B,20,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,"White – Any other background",C,30,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,"Mixed – White/Black Caribbean",D,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,"Mixed – White/Black African",E,50,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,"Mixed – White and Asian",F,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,"Mixed – Any other",G,70,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,"Asian – Indian",H,80,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,"Asian – Pakistani",J,90,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,"Asian – Bangladeshi",K,100,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
11,"Asian – Any other background",L,110,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
12,"Black – Caribbean",M,120,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,"Black – African",N,130,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,"Black – Any other background",P,140,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
15,"Other – Chinese",R,150,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
16,"Other – Any other",S,160,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
17,"Not Stated",Z,170,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
