id,name,last_modified_user_id,last_modified_date,created_user_id,created_date,event_group_id,class_name,support_services
2,Refraction,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,OphCiRefraction,0
3,Orthoptics,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,OphCiOrthoptics,0
4,"Operation note",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",5,OphTrOperationnote,0
5,FFA,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImFfa,0
6,ICG,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImIcg,0
7,OCT,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImOct,0
8,HFA,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",3,OphInHfa,0
9,Ultrasound,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImUltrasound,0
10,X-ray,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImXray,0
11,"CT scan",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImCtscan,0
12,"MRI scan",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",4,OphImMriscan,0
13,"Blood test",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",3,OphInBloodtest,0
14,Prescription,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",6,OphDrPrescription,0
15,Pre-assessment,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,OphCiPreassess,0
16,Anaesthetics,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,OphCiAnaesth,0
17,"AMD Application",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",2,OphCoAmdapplication,0
18,"AMD Injection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,OphCiAmdinjection,0
19,Injection,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",6,OphDrInjection,0
20,Laser,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",5,OphTrLaser,0
21,"Letter in",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",2,OphCoLetterin,0
22,"Letter out",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",2,OphCoLetterout,0
23,CVI,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",2,OphCoCvi,0
25,Operation,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",5,OphTrOperation,0
