id,name,code,specialty_type_id,default_title,default_is_surgeon,adjective,abbreviation
109,Ophthalmology,130,1,"Consultant Ophthalmologist",1,ophthalmic,OPH
190,"Support Services",990,6,,0,,
191,"General Surgery",100,1,"Consultant Surgeon",1,,GNS
192,Urology,101,1,ConsultantUrologist,1,urological,URO
193,"Trauma & Orthopaedics",110,1,"Consultant Orthopaedic Surgeon",1,,OTR
194,ENT,120,1,"Consultant ENT Surgeon",1,,ENT
195,"Oral Surgery",140,1,"Consultant Oral Surgeon",1,,ORA
196,"Restorative Dentistry",141,1,"Consultant Dental Surgeon",1,,RDN
197,"Paediatric Dentistry",142,1,"Consultant Dental Surgeon",1,,PDN
198,Orthodontics,143,1,"Consultant Orthodontist",1,orthodontic,ORT
199,"Oral & Maxillo Facial Surgery",145,1,"Consultant Maxillo Facial Surgeon",1,,OMF
200,Endodontics,146,1,"Consultant Endontic Surgeon",1,endodontic,EDT
201,Periodontics,147,1,"Consultant Peridontic Surgeon",1,periodontic,PRD
202,Prosthodontics,148,1,"Consultant Prosthodontist",0,prosthodontic,POS
203,"Surgical Dentistry",149,1,"Consultant Dental Surgeon",1,,SDN
204,Neurosurgery,150,1,"Consultant Neurosurgeon",1,neurosurgical,NES
205,"Plastic Surgery",160,1,"Consultant Plastic Surgeon",1,,PLS
206,"Cardiothoracic Surgery",170,1,"Consultant Cardiothoracic Surgeon",1,cardiothoracic,CTS
207,"Paediatric Surgery",171,1,"Consultant Paediatric Surgeon",1,paediatric,PDS
208,"Accident & Emergency",180,1,"Accident & Emergency Consultant",0,,ACE
209,Anaesthetics,190,1,"Consultant Anaesthetist",0,anaesthetic,ANA
210,"Critical Care Medicine",192,2,"Consultant in Critical Care",0,,CCM
211,"General Medicine",300,2,"Consultant Physician",0,,GNM
212,Gastroenterology,301,2,"Consultant Gastroenterologist",0,gastroenterological,GAS
213,Endocrinology,302,2,"Consultant Endocrinologist",0,endocrinological,END
214,"Clinical Haematology",303,2,"Consultant Haematologist",0,haematological,HAE
215,"Clinical Physiology",304,2,"Consultant Physiologist",0,physiological,PHY
216,"Clinical Pharmacology",305,2,"Consultant Pharmacologist",0,pharmacological,PHA
217,"Audiological Medicine",310,2,"Consultant Audiologist",0,audiological,AUD
218,"Clinical Genetics",311,2,"Consultant Clinical Geneticist",0,genetic,GEN
219,"Clinical Cytogenics and Molecular Genetics",312,2,"Consultant Clinical Geneticist",0,cytogenic/molecular-genetic,CMG
220,"Clinical Immunology and Allergy",313,2,"Consultant Immunologist",0,immunological/allergic,CIA
221,Rehabilitation,314,2,"Consultant in Rehabilitation",0,rehabilitory,REH
222,"Palliative Medicine",315,2,"Consultant in Palliative Care",0,palliative,PLM
223,Cardiology,320,2,"Consultant Cardiologist",0,cardiac,CAR
224,"Paediatric Cardiology",321,2,"Consultant Paediatric Cardiologist",0,paediatric,PDC
225,Dermatology,330,2,"Consultant Dermatologist",0,dermatological,DER
226,"Respiratory Medicine",340,2,"Consultant Physician",0,respiratory,RSP
227,"Infectious Diseases",350,2,"Consultant in Infectious Diseases",0,infectious-diseases,IND
228,"Tropical Medicine",352,2,"Consultant in Tropical Medicine",0,tropical-medicine,TRP
229,"Genitourinary Medicine",360,2,"Consultant in Genitourinary Medicine",0,genitourinary,GET
230,Nephrology,361,2,"Consultant Nephrologist",0,nephrological,NEP
231,"Medical Oncology",370,2,"Consultant Oncologist",0,oncological,ONC
232,"Nuclear Medicine",371,2,"Consultant in Nuclear Medicine",0,nuclear,NUM
233,Neurology,400,2,"Consultant Neurologist",0,neurological,NEU
234,"Clinical Neuro-physiology",401,2,"Consultant Neuro-Physiologist",0,neuro-physiological,CNP
235,Rheumatology,410,2,"Consultant Rheumatologist",0,rheumatological,RHU
236,Paediatrics,420,2,"Consultant Paediatrician",0,paediatric,PED
237,"Paediatric Neurology",421,2,"Consultant Paediatric Neurologist",0,paediatric-neurology,PNE
238,"Geriatric Medicine",430,2,"Consultant Geriatrician",0,geriatric,GRM
239,"Dental Medicine Specialties",450,2,"Consultant Physician",0,dental,DNM
240,"Medical Ophthalmology",460,2,"Consultant Ophthalmologist",0,medical-ophthalmic,MOP
241,"Obstetrics and Gynaecology",500,2,"Consultant Gynaecologist",1,obstetrical/gynaecological,OBG
242,Obstetrics,501,2,"Consultant Obstetrician",1,obstetrical,OBS
243,Gynaecology,502,2,"Consultant Gynaecologist",1,gynaecological,GYN
244,"Midwife Episode",560,2,Consultant,0,,MID
245,"Learning Disability",700,3,"Consultant in Learning Disability",0,,LND
246,"Adult Mental Illness",710,3,"Consultant Psychiatrist",0,,AMI
247,"Child and Adolescent Psychiatry",711,3,"Consultant Psychiatrist",0,,CHP
248,"Forensic Psychiatry",712,3,"Consultant Psychiatrist",0,forensic-psychiatry,PFP
249,Psychotherapy,713,3,"Consultant Psychotherapist",0,psychotherapy,PSY
250,"Old Age Psychiatry",715,3,"Consultant Psychiatrist",0,old-age-psychiatric,OAP
251,"Clinical Oncology",800,4,"Consultant Oncologist",0,clinical-oncology,CLO
252,Radiology,810,4,"Consultant Radiologist",0,radiological,RAD
253,"General Pathology",820,5,"Consultant Pathologist",0,,GPA
254,"Blood Transfusion",821,5,"Consultant Haematologist",0,,BBK
255,"Chemical Pathology",822,5,"Consultant Pathologist",0,,PCH
256,Haematology,823,5,"Consultant Haematologist",0,haematological,HEM
257,Histopathology,824,5,"Consultant Pathologist",0,histopathological,HIS
258,Immunopathology,830,5,"Consultant Pathologist",0,immunopathological,PIP
259,"Medical Microbiology and Virology",831,5,"Consultant Microbiologist",0,,MIC
260,"Community Medicine",900,6,"Consultant in Community Medicine",0,,COM
261,"Occupational Medicine",901,6,"Consultant in Occupational Medicine",0,,OCM
262,"Community Health Services Dental",902,6,"Consultant in Community Health",0,,CDE
263,"Public Health Medicine",903,6,"Public Health Consultant",0,,PHM
264,"Public Health Dental",904,6,"Public Health Dental Consultant",0,,PHD
265,"Nursing Episode",950,6,Consultant,0,,NUR
266,"Allied Health Professional Episode",960,6,Consultant,0,,AHP
