id,name,first_in_episode_possible,last_modified_user_id,last_modified_date,created_user_id,created_date
1,examination,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
2,refraction,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
3,orthoptics,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
4,diagnosis,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
5,ffa,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
6,icg,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
7,oct,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
8,field,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
9,ultrasound,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
10,xray,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
11,ctscan,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
12,mriscan,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
13,bloodtest,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
14,prescription,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
15,preassess,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
16,anaesth,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
17,amdapplication,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
18,amdinjection,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
19,injection,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
20,laser,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
21,letterin,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
22,letterout,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
23,cvi,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
24,example,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
25,operation,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
