code,abbreviation
130,OPH
990,SUP
100,GNS
101,URO
110,OTR
120,ENT
140,ORA
141,RDN
142,PDN
143,ORT
145,OMF
146,EDT
147,PRD
148,POS
149,SDN
150,NES
160,PLS
170,CTS
171,PDS
180,ACE
190,ANA
192,CCM
300,GNM
301,GAS
302,END
303,HAE
304,PHY
305,PHA
310,AUD
311,GEN
312,CMG
313,CIA
314,REH
315,PLM
320,CAR
321,PDC
330,DER
340,RSP
350,IND
352,TRP
360,GET
361,NEP
370,ONC
371,NUM
400,NEU
401,CNP
410,RHU
420,PED
421,PNE
430,GRM
450,DNM
460,MOP
500,OBG
501,OBS
502,GYN
560,MID
700,LND
710,AMI
711,CHP
712,PFP
713,PSY
715,OAP
800,CLO
810,RAD
820,GPA
821,BBK
822,PCH
823,HEM
824,HIS
830,PIP
831,MIC
900,COM
901,OCM
902,CDE
903,PHM
904,PHD
950,NUR
960,AHP
