id,name
1,Afrikaans
2,Albanian
3,Arabic
4,Belarusian
5,Bulgarian
6,Catalan
7,Chinese
8,Croatian
9,Czech
10,Danish
11,Dutch
12,English
13,Estonian
14,Filipino
15,Finnish
16,French
17,Galician
18,German
19,Greek
20,"Haitian Creole"
21,Hebrew
22,Hindi
23,Hungarian
24,Icelandic
25,Indonesian
26,Irish
27,Italian
28,Japanese
29,Korean
30,Latvian
31,Lithuanian
32,Macedonian
33,Malay
34,Maltese
35,Norwegian
36,Persian
37,Polish
38,Portuguese
39,Romanian
40,Russian
41,Serbian
42,Slovak
43,Slovenian
44,Spanish
45,Swahili
46,Swedish
47,Thai
48,Turkish
49,Ukrainian
50,Vietnamese
51,Welsh
52,Yiddish
