enable_dvd,494,Enable DVD,Examination,Enables or disables the DVD option in Examination->Nine Positions element
enable_head_posture,494,Enable with head posture,Examination,Enables or disables the Head Posture option in Examination->Nine Positions element
enable_correction,494,Enable with correction,Examination,Enables or disables the with correction option in Examination->Nine Positions element
enable_wong_supine_positive,494,Enable Wong supine positive,Examination,Enables or disables the Wong supine positive option in Examination->Nine Positions element
enable_hess_chart,494,Enable Hess chart,Examination,Enables or disables the Hess Chart option in Examination->Nine Positions element
unit_id,419,Near VA Default Unit,Examination,The default Visual Acuity Unit to be used in the Examination->Near Visual Acuity Element
record_mode,419,Default Visual Acuity Record Mode,Examination,Determines the default mode for the Examination->Near Visual Acuity element. Options are simple or complex
clinic_interval_id,410,Default Period,Examination,"The deafult selected \"Clinic Interval\" period for the Examination->Glaucoma Overall Plan Element"
photo_id,410,Default Period,Examination,"The deafult selected \"Photo\" period for the Examination->Glaucoma Overall Plan Element"
oct_id,410,Default Period,Examination,"The deafult selected \"OCTl\" period for the Examination->Glaucoma Overall Plan Element"
hfa_id,410,Default Period,Examination,"The deafult selected \"Visual Fields\" period for the Examination->Glaucoma Overall Plan Element"
hrt_id,410,Default Period,Examination,"The deafult selected \"HRT\" period for the Examination->Glaucoma Overall Plan Element"
expert,354,Expert Mode,Examination,"Turns \"Expert Mode\" on or off by default in the Examination->Gonioscopy element"
default_instrument_id,316,Default IOP Instrument,Examination,The default instrument selected in the adder for Examination->Intraocular Pressure element
show_instruments,316,Show instruments,Examination,"Shows (or hides) the \"Instrument\" column header in the Examination->Intraocular Pressure element's edit view. (This setting is probably useless and should be removed)"
link_instruments,316,Link Instruments,Examination,"Doesn't appear to do anything. It is loaded into a jsVar in initEdit() of protected/modules/OphCiExamination/controllers/DefaultController.php, but doesn't appear to be used anyhere"
default_rows,316,Default number of readings,Examination,The default number of rows to show in the Examination->Intraocular Pressure element
unit_id,313,VA Default Unit,Examination,The default Visual Acuity Unit to be used in the Examination->Visual Acuity Element
notes,313,Show Notes,Examination,No longer used - Delete
record_mode,313,Default Visual Acuity Record Mode,Examination,Determines the default mode for the Examination->Visual Acuity element. Options are simple or complex
fife,40,Fife,,No longer used - Delete
number_of_ports,39,Number of ports,Operation Note,Number of side ports to ad to the Cataract op note eyedraw by default (deprecated)
incision_length,39,Incision length,Operation Note,The default incision length for the cataract Operation Note
incision_centre_position_right_eye,39,Incision centre position right eye,Operation Note,The default incision centre position right eye for the cataract Operation Note (deprecated)
incision_centre_position_left_eye,39,Incision centre position left eye,Operation Note,The default incision centre position left eye for the cataract Operation Note (deprecated)
surgeon_position_right_eye,39,Surgeon position right eye,Operation Note,The default surgeon position right eye for the cataract Operation Note (deprecated)
surgeon_position_left_eye,39,Surgeon position left eye,Operation Note,The default surgeon position left eye for the cataract Operation Note (deprecated)
html_autocomplete,,Auto-complete text inputs,Core,"(NEEDS REMOVING) In old browsers, this used to determine if the browser's \"Auto Complete\" function for text fields was enabled or not. Moden browsers tend to ignore this and apply their own rules"
watermark,,User Banner,Core,"The long version of the banner that will be shown on all pages of the site TO ORDINARY USERS (in the bottom right for the standard desktop view). This usually displays in full on the login page, but users will need to hover over the banner to dispplay this long message. Also see \"User Banner Short\" setting"
watermark_admin,,Admin Banner,Core,"The long version of the banner that will be shown on all pages of the site (in the bottom right for the standard desktop view) ONLY TO ADMIN USERS. This usually displays in full on the login page, but users will need to hover over the banner to dispplay this long message. Also see \"User Banner Short\".</br> If left blank, the User Banner will be shown instead (See User Banner setting)"
