id,event_type_id,element_type_id,num_views,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,17,1,8,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
2,1,18,1,2,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
3,1,19,1,3,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
4,1,20,1,4,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
5,1,21,1,5,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
6,1,22,1,6,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
7,1,23,1,7,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
8,1,16,1,9,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
9,1,4,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
10,1,13,1,10,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
11,1,24,1,11,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
12,1,25,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
13,1,10,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
14,1,14,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
15,1,26,1,12,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
16,1,27,1,13,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
18,25,29,1,2,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
19,22,30,1,13,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
20,25,31,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
