id,possible_element_type_id,specialty_id,view_number,required,first_in_episode,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
2,1,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
3,2,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
4,2,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
5,3,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
6,3,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
7,4,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
8,4,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
9,5,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
10,5,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
11,6,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
12,6,1,1,0,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
13,7,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
14,7,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
15,8,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
16,8,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
17,9,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
18,9,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
19,13,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
20,13,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
21,14,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
22,14,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
23,18,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
24,18,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
25,19,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
26,20,1,1,1,0,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
27,20,1,1,1,1,1,1900-01-01 00:00:00,1,1900-01-01 00:00:00
