name,last_modified_user_id,last_modified_date,created_user_id,created_date
"Penicillin",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Sulphonamides",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Iodine",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Cephalosporins",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Tetracycline",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Preservatives",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Atropine",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"NSAIDs",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Acetazolamide",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Phenytoin",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Carbamezapine",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Latex",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
"Fluorescin",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
