id,name,last_modified_date,last_modified_user_id,created_user_id,created_date
1,"Over/Under Correction","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
2,"double vision","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
3,"allergy","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
4,"FB sensation","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
5,"scarring","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
6,"lost or slipped muscle","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
7,"needle penetration","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
8,"infection","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
9,"loss of vision (very rare)","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
10,"need for further surgery","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
11,"bleeding","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
12,"wound breakdown (dehiscence)","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
13,"overcorrection/undercorrection","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
14,"graft failure","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
15,"Infection","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
16,"failure of procedure","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
17,"inflammation","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
18,"raised IOP","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
19,"retinal detachment","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
20,"haemorrhage","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
21,"loss of vision","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
22,"further surgery","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
23,"visual loss/disturbance","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
24,"loss or reduction in sensation to skin around eye","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
25,"(if excising lacrimal gland - dry eye/corneal problems)","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
26,"lower lid malposition","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
27,"drooping lid (ptosis)","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
28,"altered skin crease","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
29,"Bleeding","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
30,"macular oedema","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
31,"inflammation of eye","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
32,"high pressure and glaucoma","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
33,"posterior capsular opacification","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
34,"need for laser treatment","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
35,"need for glasses / patching","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
36,"regression of astigmatism","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
37,"change in axis of astigmatism","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
38,"corneal perforation","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
39,"double vision (if extensive)","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
40,"recurrence","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
41,"Scarring","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
42,"delayed corneal surface healing","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
43,"perforation of cornea","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
44,"change in refraction of eye","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
45,"watery eye","2013-05-20 12:08:51",1,1,"2013-05-20 12:08:51"
46,"lid notch","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
47,"loss of lashes","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
48,"retinal breaks","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
49,"worse vision","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
50,"localised bruising","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
51,"facial nerve injury","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
52,"scalp necrosis","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
53,"retinal tear","2013-05-20 12:08:52",1,1,"2013-05-20 12:08:52"
