id,name,last_modified_user_id,created_user_id,last_modified_date,created_date,display_order
1,"Eye",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",1
2,"IM",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",2
3,"Inhalation",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",3
4,"Intracameral",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",4
5,"Intradermal",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",5
6,"Intravitreal",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",6
7,"IV",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",7
8,"Nose",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",8
9,"Ocular muscle",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",9
10,"PO",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",10
11,"PR",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",11
12,"PV",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",12
13,"Sub-Conj",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",13
14,"Sub-lingual",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",14
15,"Subcutaneous",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",15
16,"To Nose",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",16
17,"To skin",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",17
18,"Topical",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",18
19,"n/a",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",20
20,"Other",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00",19
