id,name,last_modified_user_id,created_user_id,last_modified_date,created_date
1,"Analgesic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
2,"Antiamoebic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
3,"Antibacterial",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
4,"Anticoagulant",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
5,"Antidiabetic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
6,"Antiemetic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
7,"Antifungal",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
8,"Antihistamine",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
9,"Antiseptic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
10,"AntiVEGF",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
11,"Antiviral",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
12,"Contact Lens Solution",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
13,"Cytotoxic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
14,"Device",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
15,"Dye",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
16,"General Anaesthesia",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
17,"Glaucoma",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
18,"Hypnotic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
19,"Immunosuppresive",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
20,"Inhaler",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
21,"Irrigation",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
22,"Local Anaesthesia",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
23,"Miotic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
24,"Mydriatic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
25,"Non-steroidal Anti-inflammatory",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
26,"Other",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
27,"Skin",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
28,"Steroid",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
29,"Systemic",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
30,"Tear Film Substitute",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
31,"Vaccine",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
32,"Vasoconstrictor",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
33,"Viscosurgical",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
34,"Vitamin",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
