"id","term","short_format","default_duration","snomed_code","snomed_term","unbooked"
1,"Dacrocystogram","DCG ",45,"56087001","Dacryocystography",0
2,"Dacryocystorhinostomy","DCR",75,"231631004","Dacryocystorhinostomy and insertion of tube",0
3,"Dacrocystorhinostomy - endonasal","DCR endo",90,"231630003","Intranasal dacryocystorhinostomy",0
5,"Lester Jones tube","LJ tube",45,"231632006","Insertion of Lester dacryocystorhinostomy tube",0
7,"Syringe and probe nasolacrimal duct","S&P",30,"275151000","S+P - Syringe and probe nasolacrimal duct",0
8,"Biopsy of lid - incisional","Bx lid",45,"268413008","Surgical biopsy of eyelid",0
9,"Reconstruction of lid - local flaps","Lid recon & flaps",90,"2242005","Reconstruction of eyelid",0
10,"Reconstruction of lid with graft","Lid recon & graft",90,"68304009","Reconstruction of eyelid with graft",0
11,"Blepharoplasty of upper lid","Bleph upper lid",40,"46142005","Blepharoplasty of upper eyelid",0
12,"Blepharoplasty of lower lid","Bleph lower lid",40,"64293002","Blepharoplasty of lower eyelid",0
13,"Blepharoplasty of both lids","Bleph both lids",80,"76508002","Blepharoplasty",0
14,"Brow suspension with fascia lata","Brow susp AFL",90,"265279001","Correction of ptosis of eyelid using sling of fascia",0
15,"Brow suspension with synthetic material","Brow susp synth",75,"30486002","Sling operation on tarsus muscle of eyelid",0
16,"Cryotherapy with Collin cryoprobe","Cryo Collin",45,"87539000","Cryotherapy of eyelid",0
17,"Cryotherapy with liquid nitrogen","Cryo Nitro",45,"7430007","Cryotherapy of skin lesion with liquid nitrogen",0
18,"Entropion correction - no graft","Ent",60,"37625005","Repair of entropion",0
19,"Ectropion correction","Ectr",60,"71408000","Repair of eyelid ectropion ",0
20,"Ptosis correction - anterior levator excision","Pt Ant lev excn",60,"265278009","Levator palpebrae resection",0
21,"Tarsorrhaphy - lateral","Tars lat",45,"172243002","Lateral tarsorrhaphy",0
22,"Decompression of orbit - 3 walls","Decomp 3",120,"83639008","Decompression of orbit",0
23,"Repair of orbital fracture","Orbital fracture",90,"426236005","Internal fixation of fracture of orbit",0
24,"Anterior orbitotomy - conjunctival approach","Ant Orb conj",90,"231552001","Anterior orbitotomy",0
26,"Lateral orbitotomy","Lat Orbitotomy",90,"46082001","Lateral orbitotomy",0
27,"Biopsy of orbit","Orbital biopsy",45,"446684002","Biopsy of orbit proper",0
28,"Enucleation and implant","Enuc & impnlt",60,"398031005","Enucleation of eyeball with insertion of orbital implant",0
29,"Evisceration and implant","Evisc & Ball",90,"29747000","Evisceration of ocular contents with implant into scleral shell",0
30,"Exenteration","Exent",180,"397896001","Exenteration of orbit",0
31,"Insertion of orbital floor implant","OFI",90,"172183001","Insertion of orbital floor implant",0
32,"Fornix reconstruction with mucus membrane graft","Fornix MMG",90,"112960000","Reconstruction of conjunctival cul-de-sac with graft",0
33,"Biopsy of conjunctiva - excisional","Bx exc cnj",30,"193845004","Excisional biopsy of conjunctiva",0
34,"Electrolysis of eyelash","Elctrlys",30,"274996002","Electrolysis of eyelash",0
35,"Incision and curettage of cyst","I&C",30,"388289006","Curettage of chalazion",0
36,"Punctoplasty","3 snp",30,"172309008","Enlargement of lacrimal punctum",0
37,"Fascia lata harvest","FL harvest",30,"180751003","Harvest of sheet of fascia from fascia lata",0
38,"Suture of cornea","Corneal suture",15,"62428002","Suture of cornea",0
40,"Removal of corneal suture","Corn sut removal",15,"172423006","Removal of corneal suture",0
41,"Anterior vitrectomy","Ant vity",20,"172555009","Anterior vitrectomy",0
42,"Phakoemulsification","Phako",30,"361191005","Extraction of cataract by ultrasonic phacofragmentation",0
45,"Repositioning of IOL","Move IOL",20,"231752003","Repositioning of intraocular lens",0
46,"Removal of IOL","Remove IOL",30,"88234006","Removal of implant of lens",0
47,"Capsulectomy","Capsulectomy",30,"63356004","Capsulectomy of lens",0
48,"Anterior capsulotomy","Ant capsulotomy",30,"422103004","Can opener anterior capsulotomy",0
49,"Posterior capsulotomy","Post Capsulotomy",30,"172530003","Capsulotomy of posterior lens capsule",0
50,"Irrigation of anterior chamber","Irrigatn AC",30,"49288009","Irrigation of anterior chamber of eye",0
52,"Repair of prolapsed iris","Repair iris prolapse",30,"231728005","Repair of prolapsed iris",0
53,"Surgical iridotomy","Surgical PI",30,"265294002","Surgical iridotomy",0
54,"Amniotic membrane graft","AmniotiGrft",40,"426676006","Amniotic membrane graft to cornea",0
56,"Astigmatic keratotomy","Astig keratotom",30,"313275006","Astigmatic keratotomy",0
59,"Biopsy of cornea","Corneal biopsy",30,"44716001","Biopsy of cornea",0
61,"Capsulotomy (surgical)","CapsulotomyPost",45,"85785001","Capsulotomy of lens",0
62,"Capsulotomy (YAG)","YAG caps",45,"172532006","YAG laser capsulotomy of lens",0
65,"Chelation of cornea","EDTA chelation",45,"172436006","Chelation of cornea",0
66,"Compression suture of graft","Compression sut",45,"231716002","Insertion of corneal tension suture",0
67,"Conjunctival flap","Creatn ConjHood",45,"348748006","Repair of cornea with conjunctival flap",0
68,"Excision of lesion of conjunctiva","ExcisConjLesion",30,"39346000","Excision of lesion of conjunctiva",0
69,"Corneal debridement","Debride",20,"172410004","Debridement of corneal lesion",0
70,"Corneal glue","Glue",30,"503003","Corneal gluing",0
71,"Corneal inlay insertion","Inlay insert",30,"413479001","Alloplastic corneal inlay",0
72,"Corneal inlay removal","Inlay removal",30,"413479001","Alloplastic corneal inlay",0
73,"Corneal suture adjustment","AdjustSuture",30,"172421008","Adjustment to corneal suture",0
74,"Corneal suture removal","removal of sutu",30,"172423006","Removal of corneal suture",0
75,"Corneal vessel diathermy","CornDiath",30,"21825005","Diathermy",0
76,"Corneal wound suture","Closure cornea",30,"62428002","Suture of cornea",0
77,"Cross-linking of cornea","Cross-linking",60,"85952003","Cross-linking",0
78,"DSAEK repositioning","DSAEK reposition",45,"421266004","Descemet\s stripping endothelial keratoplasty""",0
79,"Extracapsular cataract extraction","ECCE",30,"13793006","Extracapsular extraction of lens",0
80,"Epikeratoplasty","Epikeratoplasty",60,"40464001","Epikeratophakia",0
81,"Examination under anaesthesia","EUA",30,"91177008","Eye examination under anesthesia",0
82,"Removal of corneal foreign body","Corneal FB",20,"172426003","Removal of foreign body from cornea",0
83,"Injection into eye","inj eye",30,"33810006","Injection of eye",1
84,"Intrastromal corneal injection","Intrastromal",30,"120113002","Cornea injection",1
85,"IOL exchange","Exchange IOL",30,"231751005","Exchange of intraocular lens",0
86,"IOL insertion - anterior chamber","IOLantcham",30,"373416003","Implantation of anterior chamber intraocular lens",0
87,"IOL insertion - posterior chamber","IOLpostcham",30,"373415004","Implantation of posterior chamber intraocular lens",0
88,"IOL insertion - sutured","IOLsuture",60,"417709003","Sutured posterior chamber intraocular lens implantation",0
90,"Iridoplasty (occluder)","Pupiloplasty",30,"231730007","Iridoplasty",0
91,"Iridoplasty (suture)","Pupiloplasty",30,"231730007","Iridoplasty",0
92,"Keratoplasty - anterior lamellar","Ant lam keratop",120,"83694000","Lamellar keratoplasty",0
93,"Keratoplasty - automated Moria","Moria ALK",45,"293820001","Keratoplasty",0
94,"Keratoplasty - penetrating","Corneal graft",60,"42101009","Penetrating keratoplasty",0
95,"Keratoplasty - posterior DMEK","DSAEK",120,"419191005","Deep lamellar endothelial keratoplasty",0
96,"Keratoplasty - posterior DSAEK","DMEK",120,"421266004","Descemet\s stripping endothelial keratoplasty""",0
97,"Keratoplasty - rotation autograft","RotationlCorGft",45,"70969005","Penetrating keratoplasty with autograft",0
98,"Keratoplasty - tectonic","Graft tectonic",90,"293820001","Keratoplasty",0
99,"Keratoprosthesis","Kpro",60,"27668001","Insertion of keratoprosthesis",0
100,"LASEK/PRK","LASEK/PRK",35,"414582004","Laser assisted subepithelial keratomileusis",0
102,"LASIK flap reposition","LASIK flap",30,"447361006","Repositioning of corneal flap",0
103,"Limbal cell transplant","Limbal",60,"397554006","Limbal stem cell transplantation",0
104,"Mucous membrane graft","MMG",30,"6818001","Excision of buccal mucosa",0
105,"Occlusion of lacrimal punctum","OcclLacrPunctm",30,"172310003","Occlusion of lacrimal punctum",0
106,"Phakic IOL insertion","Phakic IOL",45,"414470005","Implantation of phakic intraocular lens implant",0
107,"Pingueculum excision","ExcBxPinguecula",40,"193845004","Excisional biopsy of conjunctiva",0
108,"Pterygium excision & conj auto-grft","ExPteryConjAuGf",45,"20466006","Excision of pterygium with graft",0
109,"PTK - Laser superficial keratectomy","PTK",35,"231705009","Laser superficial keratectomy",1
110,"Reformation of AC","Reformation AC",60,"172517004","Reformation of anterior chamber",0
111,"Repair of penetrating injury","Penetrating inj",90,"75318004","Suture of laceration of sclera",0
112,"Scleral graft","Graft to Sclera",60,"256918004","Scleral graft",0
113,"Subconjunctival injection","Conj inject",15,"74410004","Subconjunctival injection",1
114,"Superficial keratectomy","Superficial K",45,"172405003","Superficial keratectomy",0
116,"Tattooing of cornea","Tattooing corne",30,"20975004","Tattooing of cornea",0
120,"Cyclodialysis cleft repair","CyclodiaClftRep",45,"172507009","Anterior chamber of eye and/or lens operations",0
122,"Goniotomy","Goniotomy",30,"265292003","Goniotomy",0
123,"Graft to sclera","DonorSclera",60,"256918004","Scleral graft",0
124,"Insertion of aqueous shunt","InsAqueousShunt",90,"265291005","Insertion of drainage tube into anterior chamber",0
125,"Iridoplasty","Iridoplasty",45,"231730007","Iridoplasty",0
127,"Laser coagulation ciliary body","Cyclodiode",20,"35137007","Photocoagulation of ciliary body",1
128,"Laser iridotomy","Laser PI",20,"371345007","Laser iridotomy",1
129,"Laser trabeculoplasty","ALT",30,"172485001","Laser trabeculoplasty",1
130,"Needling of bleb","NeedlingBleb",45,"408763006","Needle revision of failed filtering bleb",0
131,"Revision of anterior chamber","Revision AC",60,"231741009","Revision of anterior chamber",0
132,"Revision of aqueous shunt","RevAqueousShunt",90,"440587008","Revision of aqueous shunt to extraocular reservoir",0
134,"Revision of trabeculectomy","Revision traby",45,"314117007","Revision of trabeculectomy",0
135,"Secondary lens implant","Secondary IOL",30,"225703004","Secondary lens implant",0
137,"Trabeculectomy","Traby",60,"30880003","Trabeculectomy ab externo",0
138,"Application of 5FU","5FU",20,"417129009","Trabeculectomy with intraoperative application of 5-fluorouracil",0
139,"Application of MMC","MMC",20,"416968006","Trabeculectomy with intraoperative application of mitomycin",0
140,"Trabeculotomy","Trabeculotomy",60,"82736000","Trabeculotomy",0
141,"Application of beta radation","Beta irradiation",60,"256243004","Beta radiation",0
146,"Cryotherapy to lesion of retina","Cryo",30,"172565003","Cryotherapy to lesion of retina",0
148,"Aspiration of lens","Aspiration Lens",30,"64854001","Aspiration of lens",0
150,"Botulinum injection eye muscle","BTXA-muscle",30,"231701000","Botulinum toxin injection into eye muscle",1
151,"Inferior rectus recession","IR recess",30,"172331000","Inferior rectus recession",0
152,"Inferior rectus resection","IR resect",30,"172342009","Inferior rectus resection",0
153,"Lateral rectus recession","LR -",30,"309873007","Lateral rectus recession",0
154,"Lateral rectus resection","LR +",30,"309874001","Lateral rectus resection",0
155,"Medial rectus recession","MR -",30,"309872002","Medial rectus recession",0
156,"Medial rectus resection","MR +",30,"265284007","Medial rectus resection",0
157,"Superior rectus recession","SR -",30,"172330004","Superior rectus recession",0
158,"Superior rectus resection","SR +",30,"172341002","Superior rectus resection",0
159,"Adjustable suture","Adjustable",30,"15043000","Adjustable suture technique during strabismus surgery",0
160,"Inferior oblique Faden","IO Faden",45,"231698008","Inferior oblique Faden",0
161,"Knapp procedure","Knapp",30,"231653002","Medial rectus vertical transposition",0
162,"Medial rectus vertical transposition","MR vert trans",30,"231653002","Medial rectus vertical transposition",0
163,"Superior oblique recession","SO -",30,"172332007","Superior oblique recession",0
164,"Superior oblique tenotomy","SO tenotomy",30,"172354009","Superior oblique tenotomy",0
165,"Cryotherapy retinopexy","Cryo",20,"428435002","Retinopexy using cryotherapy",0
166,"Delamination","Delam",45,"257788009","Delamination",0
167,"External drainage of SRF","Drain",10,"172462002","Drainage of subretinal fluid through sclera",0
168,"Epiretinal membrane peel","Peel",20,"172571009","Epiretinal dissection",0
170,"Fragmatome lensectomy","Frag",30,"231750006","Pars plana lensectomy",0
171,"Injection of gas","Gas",10,"66205002","Injection of gas",1
172,"Internal limiting membrane peel","ILM",20,"310558000","Preretinal membranectomy by peeling",0
173,"Insertion of IOL","IOL",20,"69724002","Insertion of intraocular lens",0
174,"Intravitreal injection","Intravit",10,"231755001","Injection of drug into vitreous",1
175,"Peripheral iridectomy","PI",10,"231724007","Peripheral iridectomy",0
176,"Laser retinopexy","Laser",20,"287588003","Laser retinal adhesion formation",1
177,"Panretinal photocoagulation","PRP",30,"312713003","Panretinal photocoagulation",0
179,"Removal of buckle","RO buckle",20,"371394007","Removal of scleral buckle",0
180,"Removal of intraocular foreign body","IOFB",45,"53570002","Removal of foreign body from eye",0
182,"Removal of oil","ROO",30,"231783004","Removal of silicone oil from vitreous",0
184,"Biopsy of retina","Ret biopsy",40,"172573007","Biopsy of retinal lesion",0
185,"Retinectomy","Retinectomy",40,"231775005","Retinectomy",0
186,"Scleral buckle","Buckle",60,"26786002","Scleral buckling",0
187,"Injection of silicone oil","Oil",20,"231779004","Injection of silicone oil into vitreous",1
188,"Vitrectomy","Vity",60,"75732000","Vitrectomy",0
189,"Biopsy of vitreous","Vit biopsy",20,"231754002","Biopsy of vitreous",0
190,"Superior oblique tuck","SO tuck",40,"231681008","Superior oblique plication",0
191,"Insertion of Intacs","Intacs ",30,"304273001","Corneal implant",0
192,"Removal of Intacs","Removal of Intacs",30,"172426003","Removal of foreign body from cornea",0
193,"Reconstruction of orbit","Orb recn",90,"172157006","Reconstruction of orbital cavity with local skin flap",0
194,"Excision of lesion of eyebrow","Excision eyebrow lesion",30,"36436000","Excision of lesion of eyebrow",0
195,"Excision of lesion of canthus","Excision cathal lesion",30,"172196000","Excision of lesion of canthus",0
197,"Insertion of gold weight","Gld wt",40,"172280008","Insertion of gold weight into upper eyelid",0
198,"Excision of lacrimal gland","Excision of lacrimal gland",60,"231627005","Total excision of lacrimal gland",0
199,"Removal of tube from nasolacrimal duct","Removal tube",20,"172304003","Removal of tube from nasolacrimal duct",0
202,"Superior oblique Harada-Ito","Haradi-Ito",50,"231687007","Superior oblique Harada-Ito procedure",0
205,"Subretinal membranectomy","Removal of CNV",60,"231773003","Subretinal membranectomy",0
206,"Removal of gas","Removal of gas",20,"231781002","Removal of intravitreal gas/fluid",0
207,"Removal of orbital implant","Orb implnt removal",30,"35829002","Removal of orbital implant",0
208,"LASIK","LASIK",20,"312965008","Laser assisted in situ keratomileusis",0
210,"Allogenic implant","Al implnt",40,"18267000","Implantation of facial bone, synthetic or alloplastic",0
211,"Dermis fat graft","DFG",30,"180849006","Harvest of other tissue",0
212,"Ear cartilage graft","Aur cart",30,"426098003","Harvest of cartilage from ear",0
213,"Endoscopy","Enscpy",20,"25570002","Endoscopy of nose",0
214,"Hardpalate graft","HPG",30,"53958007","Harvesting of donor material",0
216,"Sentinel node biopsy","SNB",90,"396487001","Sentinel lymph node biopsy",0
217,"Split skin graft","Split skin",30,"180715005","Harvest of split skin for graft",0
220,"Biopsy of lacrimal gland","Lacrimal gland biopsy",45,"197922007","Biopsy of lacrimal gland",0
221,"Other procedure on lacrimal gland","Lacrimal gland - other",60,"118772009","Procedure on lacrimal gland",0
222,"Biopsy of lacrimal sac","Lsac Bx",45,"202568006","Biopsy of lacrimal sac",0
223,"Excision of lacrimal sac","Lacrimal sac - excision",60,"61443003","Excision of lesion of lacrimal sac",0
224,"Repair of canaliculus","Rep canaliculus",45,"76143007","Repair of canaliculus of lacrimal system",0
225,"Lid lowering anterior approach","Lid low ant",45,"412719003","Lowering of upper eyelid",0
226,"Lid lowering posterior approach","Lid low post",45,"231615007","Lamellar division and slide of upper eyelid",0
227,"Reformation of skin crease","Skin crease reformation",60,"118912008","Procedure on eyelid",0
231,"Brow lift - direct","Brow lift - direct",60,"428590006","Direct browlift ",0
232,"Brow lift - internal","Brow lift - indirect",60,"427799006","Internal browlift",0
234,"Telecanthus - correction with wire","Telecnth wire",90,"231574007","Correction of telecanthus by transnasal wire",0
237,"Insertion of orbital implant","Orb ball implnt",90,"4765003","Insertion of ocular implant following or secondary to enucleation",0
238,"Excision of papilloma","Exc papilloma",30,"303648002","Excision of papilloma",0
239,"Operation on eyelid","Opn eyelid",30,"40654000","Operation on eyelid",0
240,"Operation for squint","Squint op",40,"17639001","Operation on extraocular muscle",0
241,"Calaniculotomy for canaliculitis","Canltmy",30,"19999005","Slitting of lacrimal canaliculus for removal of streptothrix",0
242,"Canthopexy - Lateral ","Lat cnthpxy",45,"60953002","Lateral canthopexy",0
243,"Canthoplasty - Lateral ","Lat cnthplst",60,"231592004","Lateral canthoplasty",0
244,"Canthoplasty - Medial","Med cnthplsty",60,"27491009","Medial canthoplasty",0
245,"Canthoplasty - Medial Lee","Lee",45,"231605001","Medial Lee tarsorraphy",0
246,"Cheek lift","Chk lft",60,"234900007","Cheek operation",0
247,"Congenital anomaly - Correction","Corr anmly",60,"172234006","Correction of deformity of eyelid",0
249,"Ectropion - medial only correction","Ectr med",45,"231601005","Correction of medial ectropion",0
250,"Injection into eyelid","Inj lid",15,"120103005","Eyelid injection",1
252,"Excision of lid lesion - no biopsy","Ex lid lsn",30,"172212009","Excision of lesion of eyelid",0
253,"Lower lid elevation - specify graft material","LL elvtn",45,"231624003","Insertion of graft into lower eyelid",0
254,"Ptosis correction - apo repair - anterior approach","Pt ant",60,"172257000","Correction of ptosis by aponeurotic repair",0
255,"Ptosis correction - apo repair - posterior approach","Pt post",60,"172257000","Correction of ptosis by aponeurotic repair",0
256,"Punctum closure","Punctal occl",30,"27374006","Closure of lacrimal punctum",0
257,"Removal of gold weight","Rmv Gld wt",45,"231625002","Removal of gold weight from upper eyelid",0
258,"Revision of scar","Scar rvn",45,"284079008","Revision of scar",0
259,"Tarsorrhaphy - permanent","Tars permnt",60,"287411001","Permanent eyelid closure",0
260,"Tarsorrhaphy - temporary","Tars temp",30,"172264003","Protective suture of eyelid",0
261,"Tarsorrhaphy - medial pillar","Tars med",45,"172244008","Medial tarsorrhaphy",0
262,"Drainage of eyelid abscess","Absc drng",60,"172261006","Drainage of lesion of eyelid",0
263,"Biopsy of conjunctiva - incisional","Bx cnj",30,"303636000","Conjunctival biopsy",0
264,"Biopsy of lid - excisional","Bx exc ld",30,"196308007","Biopsy of eyelid",0
265,"Blepharophimosis - canthal surgery","Blphmosis canth",90,"62553002","Repair of blepharophimosis",0
266,"Botulinum toxin injection to eyelid","BoTox inj",15,"274937009","Botulinum toxin injection into eyelid",1
267,"Blepharospasm - orbicularis muscle stripping","OrbicularisMsSt",45,"53707000","Resection of orbicularis oculi muscle",0
268,"Dacrocystectomy","Dctmy",60,"55272009","Dacryocystectomy",0
269,"Dacrocystorhinostomy & retrotubes","CanaliculoDCR",90,"265281004","Canaliculodacryocystorhinostomy",0
270,"Endonasal revision of DCR","Endo rev DCR",45,"419020002","Creation of anastomosis between lacrimal drainage system and nose",0
271,"Lacrimal intubation","LacIntub",60,"417917001","Intubation of lacrimal drainage structure",0
272,"Nasendoscopy","Nasedosc",45,"172836001","Examination of nose under anesthetic",0
273,"Removal of stent","Rem stnt",30,"103718005","Removal of stent",0
274,"Full thickness skin graft","FTSG",20,"240986006","Harvest of skin graft",0
278,"Intravenous steroid injection","IV steroid injection",10,"285435007","Intravenous steroid injection",1
280,"Entropion correction of lower eyelid","Ent lower lid",60,"231607009","Correction of entropion of lower eyelid",0
281,"Entropion Correction of upper eyelid","Ent upper lid",60,"231612005","Correction of entropion of upper eyelid",0
282,"MMG to ocular suface","MMG",90,"172389006","Mucosal graft to conjunctiva",0
283,"Anterior orbitotomy - lower lid approach","Ant Orb LL",90,"231552001","Anterior orbitotomy",0
284,"Anterior orbitotomy - upper lid approach","Ant Orb UL",90,"231552001","Anterior orbitotomy",0
285,"Decompression of orbit - medial wall for neuropathy","Decmp med only",60,"83639008","Decompression of orbit",0
286,"Decompression of orbit 2(+) walls balanced approach","Decmp 2+ balanced",90,"83639008","Decompression of orbit",0
287,"Decompression of orbit lateral wall","Decmp lat",60,"83639008","Decompression of orbit",0
288,"Dermolipoma excision (microscope)","Drmlpm",60,"231552001","Anterior orbitotomy",0
289,"Exploration of orbit","Orb explrn",60,"36895007","Exploration of orbit",0
290,"Drainage of orbital abscess","Orb absc",60,"172172005","Drainage of orbit",0
291,"Orbital fat prolapse - trans conjunctival reduction","Deblk ft",60,"231552001","Anterior orbitotomy",0
292,"Removal of orbital foreign body","Orb FB",90,"172173000","Removal of foreign body from orbit",0
293,"Dermis fat graft to socket","DFGsock",90,"231546002","Reconstruction of orbital cavity with dermofat graft",0
294,"Enucleation no implant","Enuc no implnt",60,"205336009","Enucleation of eye without implant",0
295,"Evisceration no implant","Evisc no ball",60,"373356002","Evisceration of eye proper",0
296,"Moulding of socket","Mld",45,"6444006","Enlargement of eye socket",0
297,"Reconstruction of eye socket with MMG","Frnx recon",60,"16938001","Reconstruction of eye socket",0
300,"Insertion of socket expander","Sckt exp",60,"76790002","Insertion of tissue expander",0
301,"Inferior rectus Faden","IR Faden",45,"231679006","Inferior rectus Faden",0
302,"Lateral rectus Faden","LR Faden",45,"231666002","Lateral rectus Faden",0
