id,name,value,display_order
1,"NR",NULL,1
2,"1",1,2
3,"2",2,3
4,"3",3,4
5,"4",4,5
6,"5",5,6
7,"6",6,7
8,"7",7,8
9,"8",8,9
10,"9",9,10
11,"10",10,11
12,"11",11,12
13,"12",12,13
14,"13",13,14
15,"14",14,15
16,"15",15,16
17,"16",16,17
18,"17",17,18
19,"18",18,19
20,"19",19,20
21,"20",20,21
22,"21",21,22
23,"22",22,23
24,"23",23,24
25,"24",24,25
26,"25",25,26
27,"26",26,27
28,"27",27,28
29,"28",28,29
30,"29",29,30
31,"30",30,31
32,"31",31,32
33,"32",32,33
34,"33",33,34
35,"34",34,35
36,"35",35,36
37,"36",36,37
38,"37",37,38
39,"38",38,39
40,"39",39,40
41,"40",40,41
42,"41",41,42
43,"42",42,43
44,"43",43,44
45,"44",44,45
46,"45",45,46
47,"46",46,47
48,"47",47,48
49,"48",48,49
50,"49",49,50
51,"50",50,51
52,"51",51,52
53,"52",52,53
54,"53",53,54
55,"54",54,55
56,"55",55,56
57,"56",56,57
58,"57",57,58
59,"58",58,59
60,"59",59,60
61,"60",60,61
62,"61",61,62
63,"62",62,63
64,"63",63,64
65,"64",64,65
66,"65",65,66
67,"66",66,67
68,"67",67,68
69,"68",68,69
70,"69",69,70
71,"70",70,71
72,"71",71,72
73,"72",72,73
74,"73",73,74
75,"74",74,75
76,"75",75,76
77,"76",76,77
78,"77",77,78
79,"78",78,79
80,"79",79,80
81,"80",80,81
