id,unit_id,value,base_value,selectable
1,1,"NPL",1,1
2,1,"PL",2,1
3,1,"HM",3,1
4,1,"CF",4,1
5,1,"5",30,1
6,1,"10",35,1
7,1,"15",40,1
8,1,"20",45,1
9,1,"25",50,1
10,1,"30",55,1
11,1,"35",60,1
12,1,"40",65,1
13,1,"45",70,1
14,1,"50",75,1
15,1,"55",80,1
16,1,"60",85,1
17,1,"65",90,1
18,1,"70",95,1
19,1,"75",100,1
20,1,"80",105,1
21,1,"85",110,1
22,1,"90",115,1
23,1,"95",120,1
24,1,"100",125,1
25,2,"NPL",1,1
26,2,"PL",2,1
27,2,"HM",3,1
28,2,"CF",4,1
29,2,"3/60",45,1
30,2,"6/60",60,1
31,2,"6/36",71,1
32,2,"6/24",80,1
33,2,"6/18",86,1
34,2,"6/12",95,1
35,2,"6/9",101,1
36,2,"6/6",110,1
37,2,"6/5",114,1
38,2,"1/60",21,1
39,2,"2/60",36,1
40,1,"N/A",21,0
41,1,"0",25,1
42,1,"1",26,1
43,1,"2",27,1
44,1,"3",28,1
45,1,"4",29,1
46,1,"6",31,1
47,1,"7",32,1
48,1,"8",33,1
49,1,"9",34,1
50,1,"11",36,1
51,1,"12",37,1
52,1,"13",38,1
53,1,"14",39,1
54,1,"16",41,1
55,1,"17",42,1
56,1,"18",43,1
57,1,"19",44,1
58,1,"21",46,1
59,1,"22",47,1
60,1,"23",48,1
61,1,"24",49,1
62,1,"26",51,1
63,1,"27",52,1
64,1,"28",53,1
65,1,"29",54,1
66,1,"31",56,1
67,1,"32",57,1
68,1,"33",58,1
69,1,"34",59,1
70,1,"36",61,1
71,1,"37",62,1
72,1,"38",63,1
73,1,"39",64,1
74,1,"41",66,1
75,1,"42",67,1
76,1,"43",68,1
77,1,"44",69,1
78,1,"46",71,1
79,1,"47",72,1
80,1,"48",73,1
81,1,"49",74,1
82,1,"51",76,1
83,1,"52",77,1
84,1,"53",78,1
85,1,"54",79,1
86,1,"56",81,1
87,1,"57",82,1
88,1,"58",83,1
89,1,"59",84,1
90,1,"61",86,1
91,1,"62",87,1
92,1,"63",88,1
93,1,"64",89,1
94,1,"66",91,1
95,1,"67",92,1
96,1,"68",93,1
97,1,"69",94,1
98,1,"71",96,1
99,1,"72",97,1
100,1,"73",98,1
101,1,"74",99,1
102,1,"76",101,1
103,1,"77",102,1
104,1,"78",103,1
105,1,"79",104,1
106,1,"81",106,1
107,1,"82",107,1
108,1,"83",108,1
109,1,"84",109,1
110,1,"86",111,1
111,1,"87",112,1
112,1,"88",113,1
113,1,"89",114,1
114,1,"91",116,1
115,1,"92",117,1
116,1,"93",118,1
117,1,"94",119,1
118,1,"96",121,1
119,1,"97",122,1
120,1,"98",123,1
121,1,"99",124,1
122,1,"101",126,1
123,1,"102",127,1
124,1,"103",128,1
125,1,"104",129,1
126,1,"101",126,1
127,1,"102",127,1
128,1,"103",128,1
129,1,"104",129,1
130,1,"105",130,1
131,1,"106",131,1
132,1,"107",132,1
133,1,"108",133,1
134,1,"109",134,1
135,1,"110",135,1
136,1,"111",136,1
137,1,"112",137,1
138,1,"113",138,1
139,1,"114",139,1
140,1,"115",140,1
141,1,"116",141,1
142,1,"117",142,1
143,1,"118",143,1
144,1,"119",144,1
145,1,"120",145,1
146,2,"6/4",119,1
147,2,"6/3",126,1
148,2,"6/2",135,0
149,2,"6/1",150,0
150,4,"1.6",30,1
151,4,"1.5",35,1
152,4,"1.4",40,1
153,4,"1.3",45,1
154,4,"1.2",50,1
155,4,"1.1",55,1
156,4,"1.0",60,1
157,4,"0.9",65,1
158,4,"0.8",70,1
159,4,"0.7",75,1
160,4,"0.6",80,1
161,4,"0.5",85,1
162,4,"0.4",90,1
163,4,"0.3",95,1
164,4,"0.2",100,1
165,4,"0.1",105,1
166,4,"0.0",110,1
167,4,"-0.1",115,1
168,4,"-0.2",120,1
169,4,"-0.3",125,1
170,4,"-0.4",130,1
171,4,"-0.5",135,1
172,4,"-0.6",140,1
173,4,"-0.7",145,1
174,4,"1.78",21,0
175,2,"6/96",50,1
