value,base_value
"-0.48","134"
"-0.46","133"
"-0.44","132"
"-0.42","131"
"-0.40","130"
"-0.38","129"
"-0.36","128"
"-0.34","127"
"-0.32","126"
"-0.30","125"
"-0.28","124"
"-0.26","123"
"-0.24","122"
"-0.22","121"
"-0.20","120"
"-0.18","119"
"-0.16","118"
"-0.14","117"
"-0.12","116"
"-0.10","115"
"-0.08","114"
"-0.06","113"
"-0.04","112"
"-0.02","111"
"0.00","110"
"0.02","109"
"0.04","108"
"0.06","107"
"0.08","106"
"0.10","105"
"0.12","104"
"0.14","103"
"0.16","102"
"0.18","101"
"0.20","100"
"0.22","99"
"0.24","98"
"0.26","97"
"0.28","96"
"0.30","95"
"0.32","94"
"0.34","93"
"0.36","92"
"0.38","91"
"0.40","90"
"0.42","89"
"0.44","88"
"0.46","87"
"0.48","86"
"0.50","85"
"0.52","84"
"0.54","83"
"0.56","82"
"0.58","81"
"0.60","80"
"0.62","79"
"0.64","78"
"0.66","77"
"0.68","76"
"0.70","75"
"0.72","74"
"0.74","73"
"0.76","72"
"0.78","71"
"0.80","70"
"0.82","69"
"0.84","68"
"0.86","67"
"0.88","66"
"0.90","65"
"0.92","64"
"0.94","63"
"0.96","62"
"0.98","61"
"1.00","60"
"1.02","59"
"1.04","58"
"1.06","57"
"1.08","56"
"1.10","55"
"1.12","54"
"1.14","53"
"1.16","52"
"1.18","51"
"1.20","50"
"1.22","49"
"1.24","48"
"1.26","47"
"1.28","46"
"1.30","45"
"1.32","44"
"1.34","43"
"1.36","42"
"1.38","41"
"1.40","40"
"1.42","39"
"1.44","38"
"1.46","37"
"1.48","36"
"1.50","35"
"CF","4"
"HM","3"
"PL","2"
"NPL","1"
