"aar","Afar"
"abk","Abkhazian"
"ave","Avestan"
"afr","Afrikaans"
"aka","Akan"
"amh","Amharic"
"arg","Aragonese"
"ara","Arabic"
"asm","Assamese"
"ava","Avaric"
"aym","Aymara"
"aze","Azerbaijani"
"bak","Bashkir"
"bel","Belarusian"
"bul","Bulgarian"
"bih","Bihari languages"
"bis","Bislama"
"bam","Bambara"
"ben","Bengali"
"tib","Tibetan"
"bre","Breton"
"bos","Bosnian"
"cat","Catalan; Valencian"
"che","Chechen"
"cha","Chamorro"
"cos","Corsican"
"cre","Cree"
"cze","Czech"
"chv","Chuvash"
"wel","Welsh"
"dan","Danish"
"ger","German"
"div","Divehi; Dhivehi; Maldivian"
"dzo","Dzongkha"
"ewe","Ewe"
"gre","Greek, Modern (1453-)"
"eng","English"
"epo","Esperanto"
"spa","Spanish; Castilian"
"est","Estonian"
"baq","Basque"
"per","Persian (Farsi)"
"ful","Fulah"
"fin","Finnish"
"fij","Fijian"
"fao","Faroese"
"fre","French"
"fry","Western Frisian"
"gle","Irish"
"gla","Gaelic; Scottish Gaelic"
"glg","Galician"
"grn","Guarani"
"guj","Gujarati"
"glv","Manx"
"hau","Hausa"
"heb","Hebrew"
"hin","Hindi"
"hmo","Hiri Motu"
"hrv","Croatian"
"hat","Haitian; Haitian Creole"
"hun","Hungarian"
"arm","Armenian"
"her","Herero"
"ina","Interlingua (International Auxiliary Language Association)"
"ind","Indonesian"
"ile","Interlingue; Occidental"
"ibo","Igbo"
"iii","Sichuan Yi; Nuosu"
"ipk","Inupiaq"
"ido","Ido"
"ice","Icelandic"
"ita","Italian"
"iku","Inuktitut"
"jpn","Japanese"
"jav","Javanese"
"geo","Georgian"
"kon","Kongo"
"kik","Kikuyu; Gikuyu"
"kua","Kuanyama; Kwanyama"
"kaz","Kazakh"
"kal","Kalaallisut; Greenlandic"
"khm","Central Khmer"
"kan","Kannada"
"kor","Korean"
"kau","Kanuri"
"kas","Kashmiri"
"kur","Kurdish"
"kom","Komi"
"cor","Cornish"
"kir","Kirghiz; Kyrgyz"
"lat","Latin"
"ltz","Luxembourgish; Letzeburgesch"
"lug","Ganda"
"lim","Limburgan; Limburger; Limburgish"
"lin","Lingala"
"lao","Lao"
"lit","Lithuanian"
"lub","Luba-Katanga"
"lav","Latvian"
"mlg","Malagasy"
"mah","Marshallese"
"mao","Maori"
"mac","Macedonian"
"mal","Malayalam"
"mon","Mongolian"
"mar","Marathi"
"may","Malay"
"mlt","Maltese"
"bur","Burmese"
"nau","Nauru"
"nob","Bokmål, Norwegian; Norwegian Bokmål"
"nde","Ndebele, North; North Ndebele"
"nep","Nepali"
"ndo","Ndonga"
"dut","Dutch; Flemish"
"nno","Norwegian Nynorsk; Nynorsk, Norwegian"
"nor","Norwegian"
"nbl","Ndebele, South; South Ndebele"
"nav","Navajo; Navaho"
"nya","Chichewa; Chewa; Nyanja"
"oci","Occitan (post 1500)"
"oji","Ojibwa"
"orm","Oromo"
"ori","Oriya"
"oss","Ossetian; Ossetic"
"pan","Panjabi; Punjabi"
"pli","Pali"
"pol","Polish"
"pus","Pushto; Pashto"
"por","Portuguese"
"q1","Braille - for people who are unable to see"
"q2","American Sign Language"
"q3","Australian Sign Language"
"q4","British Sign Language"
"q5","Makaton - devised for children and adults with a variety of communication and Learning Disabilities"
"que","Quechua"
"roh","Romansh"
"run","Rundi"
"rum","Romanian; Moldavian; Moldovan"
"rus","Russian"
"kin","Kinyarwanda"
"san","Sanskrit"
"srd","Sardinian"
"snd","Sindhi"
"sme","Northern Sami"
"sag","Sango"
"sin","Sinhala; Sinhalese"
"slo","Slovak"
"slv","Slovenian"
"smo","Samoan"
"sna","Shona"
"som","Somali"
"alb","Albanian"
"srp","Serbian"
"ssw","Swati"
"sot","Sotho, Southern"
"sun","Sundanese"
"swe","Swedish"
"swa","Swahili"
"tam","Tamil"
"tel","Telugu"
"tgk","Tajik"
"tha","Thai"
"tir","Tigrinya"
"tuk","Turkmen"
"tgl","Tagalog"
"tsn","Tswana"
"ton","Tonga (Tonga Islands)"
"tur","Turkish"
"tso","Tsonga"
"tat","Tatar"
"twi","Twi"
"tah","Tahitian"
"uig","Uighur; Uyghur"
"ukr","Ukrainian"
"urd","Urdu"
"uzb","Uzbek"
"ven","Venda"
"vie","Vietnamese"
"vol","Volapük"
"wln","Walloon"
"wol","Wolof"
"xho","Xhosa"
"yid","Yiddish"
"yor","Yoruba"
"zha","Zhuang; Chuang"
"chi ","Chinese - cantonese"
"chm","Chinese - mandarin"
"zul","Zulu"
"crp","Creoles and pidgins"
"fil","Filipino; Pilipino"
"fiu","Finno-Ugrian languages"
