id,disorder_id => disorder.fully_specified_name,question,display_order,enabled
1,"Choroidal retinal neovascularization (disorder)","CRT Increase  <100",1,1
2,"Choroidal retinal neovascularization (disorder)","CRT >= 100",2,1
3,"Choroidal retinal neovascularization (disorder)","Loss of 5 letters ",3,1
4,"Choroidal retinal neovascularization (disorder)","Loss of letter  >5",4,1
5,"Venous retinal branch occlusion (disorder)","Failed Laser",1,1
6,"Venous retinal branch occlusion (disorder)","Unsuitable for Laser",2,1
7,"Venous retinal branch occlusion (disorder)","Previously received Ozurdex treatment",3,1
8,"Diabetic macular edema (disorder)","CRT >= 400 µ",1,1
9,"Diabetic macular edema (disorder)","Foveal structural damage",2,1
10,"Diabetic macular edema (disorder)","Failed laser",3,1
11,"Diabetic macular edema (disorder)","Unsuitable for Laser",4,1
12,"Diabetic macular edema (disorder)","Previously received Anti VEGF",5,1
