"id","firm_id","theatre_id => ophtroperationbooking_operation_theatre.name","start_date","start_time","end_time","end_date","interval_id => ophtroperationbooking_operation_sequence_interval.name","weekday","week_selection","consultant","paediatric","anaesthetist","general_anaesthetic","last_generate_date","deleted"
1,NULL,"Kings Theatre One","2013-06-01","09:00:00","18:00:00",NULL,"1 week",6,NULL,1,0,1,1,"1901-01-01 00:00:00",0
2,1,"Kings Theatre One","2013-06-03","09:00:00","13:00:00",NULL,"1 week",1,NULL,0,0,1,0,"1901-01-01 00:00:00",0
3,2,"Kings Theatre One","2013-06-04","09:00:00","13:00:00",NULL,"1 week",2,NULL,0,0,1,1,"1901-01-01 00:00:00",0
4,3,"Kings Theatre One","2013-06-05","09:00:00","13:00:00",NULL,"1 week",3,NULL,0,0,0,0,"1901-01-01 00:00:00",0
5,1,"Kings Theatre One","2013-06-06","09:00:00","13:00:00",NULL,"1 week",4,NULL,0,0,0,0,"1901-01-01 00:00:00",0
6,2,"Kings Theatre One","2013-06-07","09:00:00","13:00:00",NULL,"1 week",5,NULL,0,1,1,0,"1901-01-01 00:00:00",0
7,3,"Kings Theatre One","2013-06-03","13:30:00","18:00:00",NULL,"1 week",1,NULL,0,1,1,1,"1901-01-01 00:00:00",0
8,1,"Kings Theatre One","2013-06-04","13:30:00","18:00:00",NULL,"1 week",2,NULL,0,1,0,0,"1901-01-01 00:00:00",0
9,2,"Kings Theatre One","2013-06-05","13:30:00","18:00:00",NULL,"1 week",3,NULL,0,1,0,0,"1901-01-01 00:00:00",0
10,3,"Kings Theatre One","2013-06-06","13:30:00","18:00:00",NULL,"1 week",4,NULL,1,0,1,0,"1901-01-01 00:00:00",0
11,1,"Kings Theatre One","2013-06-07","13:30:00","18:00:00",NULL,"1 week",5,NULL,1,0,1,1,"1901-01-01 00:00:00",0
12,2,"Kings Theatre Two","2013-06-03","09:00:00","13:00:00",NULL,"1 week",1,NULL,1,0,0,0,"1901-01-01 00:00:00",0
13,3,"Kings Theatre Two","2013-06-04","09:00:00","13:00:00",NULL,"1 week",2,NULL,1,0,0,0,"1901-01-01 00:00:00",0
14,1,"Kings Theatre Two","2013-06-05","09:00:00","13:00:00",NULL,"1 week",3,NULL,1,1,1,0,"1901-01-01 00:00:00",0
15,2,"Kings Theatre Two","2013-06-06","09:00:00","13:00:00",NULL,"1 week",4,NULL,1,1,1,1,"1901-01-01 00:00:00",0
16,3,"Kings Theatre Two","2013-06-07","09:00:00","13:00:00",NULL,"1 week",5,NULL,1,1,0,0,"1901-01-01 00:00:00",0
17,1,"Kings Theatre Two","2013-06-03","13:30:00","18:00:00",NULL,"1 week",1,NULL,1,1,0,0,"1901-01-01 00:00:00",0
18,2,"Kings Theatre Two","2013-06-04","13:30:00","18:00:00",NULL,"1 week",2,NULL,0,0,1,0,"1901-01-01 00:00:00",0
19,3,"Kings Theatre Two","2013-06-05","13:30:00","18:00:00",NULL,"1 week",3,NULL,0,0,1,1,"1901-01-01 00:00:00",0
20,1,"Kings Theatre Two","2013-06-06","13:30:00","18:00:00",NULL,"1 week",4,NULL,0,0,0,0,"1901-01-01 00:00:00",0
21,2,"Kings Theatre Two","2013-06-07","13:30:00","18:00:00",NULL,"1 week",5,NULL,0,0,0,0,"1901-01-01 00:00:00",0
32,NULL,"Kings Theatre Two","2013-06-02","09:00:00","18:00:00",NULL,"1 week",7,NULL,0,0,1,0,"1901-01-01 00:00:00",0
22,3,"Queens Theatre One","2013-06-03","09:00:00","13:00:00",NULL,"1 week",1,NULL,0,1,1,0,"1901-01-01 00:00:00",0
23,1,"Queens Theatre One","2013-06-04","09:00:00","13:00:00",NULL,"1 week",2,NULL,0,1,1,1,"1901-01-01 00:00:00",0
24,2,"Queens Theatre One","2013-06-05","09:00:00","13:00:00",NULL,"1 week",3,NULL,0,1,0,0,"1901-01-01 00:00:00",0
25,3,"Queens Theatre One","2013-06-06","09:00:00","13:00:00",NULL,"1 week",4,NULL,0,1,0,0,"1901-01-01 00:00:00",0
26,1,"Queens Theatre One","2013-06-07","09:00:00","13:00:00",NULL,"1 week",5,NULL,1,0,1,0,"1901-01-01 00:00:00",0
27,2,"Queens Theatre One","2013-06-03","13:30:00","18:00:00",NULL,"1 week",1,NULL,1,0,1,1,"1901-01-01 00:00:00",0
28,3,"Queens Theatre One","2013-06-04","13:30:00","18:00:00",NULL,"1 week",2,NULL,1,0,0,0,"1901-01-01 00:00:00",0
29,1,"Queens Theatre One","2013-06-05","13:30:00","18:00:00",NULL,"1 week",3,NULL,1,0,0,0,"1901-01-01 00:00:00",0
30,2,"Queens Theatre One","2013-06-06","13:30:00","18:00:00",NULL,"1 week",4,NULL,1,1,1,0,"1901-01-01 00:00:00",0
31,3,"Queens Theatre One","2013-06-07","13:30:00","18:00:00",NULL,"1 week",5,NULL,1,1,1,1,"1901-01-01 00:00:00",0
33,1,"Queens Theatre Two","2013-06-03","09:00:00","13:30:00",NULL,"2 weeks",1,NULL,1,0,0,0,"1901-01-01 00:00:00",0
