id,text,parent_id,list_no,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Booked in error",,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,"Patient has died",,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,"Patient has not replied",,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,"Patient refused operation",,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,Patient,,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,"Hospital Medical",,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,"Hospital Non-Medical",,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,Error,,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,"No Time List Too Long",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,"No Donor Material Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,"Equipment Unavailable/Failure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,"Consent Form Not Signed",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,"No Backup Support",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,"OP To Be Done By Consultant-Cons Sick",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,"Cancelled In Pre-Assess",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,"Air Change Failure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,"Room Tempureature Failure-Hot/Cold",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,DNA,,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,"Power Supply Failure/No Gen Backup",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,RIP,,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
21,"Patient Gone Privately",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
22,"Patient Did Not Want To Wait/Operation",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
23,"Operation To Be Done By Consultant",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
24,"Awaiting Results/Investigations",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
25,"Cardiac Arrest",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
26,"Anaesthetic Complications",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
27,"Transport Did Not Arrive",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
28,"Raised Intraocular Pressure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
29,"Retrobulbar Haemorrhage",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
30,"Patient Unsuitable For LA",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
31,"No Notes",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
32,"No Consultant Cover",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
33,"Special Lens Needed - Request Not In",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
34,"LA List No Anaesthetic Cover",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
35,"ASA 3 Patient / Too Late For Surgery",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
36,"Rescheduled For Another Day",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
37,"Did Not Receive Letter",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
38,"Wrong Date Given",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
39,"No Pre-Assessment",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
40,"Patient Referred To Another Service",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
41,"No Surgeon Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
42,"Patient Not Fit For Surgery",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
43,"Eye Infection",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
44,"Anticoagulation Failure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
45,"No Funds",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
46,"Operation Already Done",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
47,"Added In Error",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
48,"Patient Wants To Become NHS",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
49,"At Surgeon's Req - Complication Prev; Case",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
50,"Patient Did Not Stop Medication",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
51,"No Biometry/Refraction/To Be Redone",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
52,"No Anaesthetist Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
53,"Major Incident",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
54,"OP Canceled By Patient - Less Than 24 Hours",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
55,"Patient Unwell",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
56,"Surgeon Late Arrival - No OP Time Left",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
57,"Patient In Another Hospital",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
58,"Patient Unable To Take Medication",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
59,"Faulty Items/Damaged Cornea",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
60,"Latex Allergy",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
61,"MRSA Positive",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
62,"No Anaesthetic Support Staff Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
63,"Microbiological Test Failure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
64,"Anaesthetist Delayed On AM List",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
65,"Needs Anaesthetic Cover",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
66,"No Time PP Booked On List",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
67,"Morning List Overran",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
68,"No Implant",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
69,"Trial Lens Not Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
70,"Booked In Error",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
71,"Patient Listed For Wrong Procedure",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
72,"No Nursing Staff/ODPS Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
73,"Patient Not Fasted For GA",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
74,"Transport Facilities/PT Escort Not Available",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
75,"Patient Wants A GA",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
76,"Operation Done In Ward/OPD",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
77,"Incorrect Treatment Given (Drops)",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
78,"Anaesthetist Late Arrival No OP Time Left",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
79,"Needs Further Investigations",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
80,"Lens Orders Not Suitable For Patient",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
81,"To Be Done By Consultant Patient Choice",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
82,"OP Canceled By Patient - Greater Than 24 Hours",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
83,"No Time Due To Emergency",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
84,"Drug Unavailable",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
85,"Patient Informed Not To Come In",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
86,"Surgery No Longer Required",,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
