id,service_specialty_assignment_id,pas_code,name,last_modified_user_id,last_modified_date,created_user_id,created_date
1,9,TUFA,"Tufail Adnan",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,5,IONA,"Ionides Alexander",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,7,IONA,"Ionides Alexander",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,2,IONA,"Ionides Alexander",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,13,IONA,"Ionides Alexander",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,14,DAVA,"Davis Alison",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,12,DAVA,"Davis Alison",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,12,SALA,"Salt Alison",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,8,VISA,"Viswanathan Ananth",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,12,WASA,"Sawczenko Andrew",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,9,WEBA,"Webster Andrew",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,14,DAHA,"Dahlmann-Noor Annegret",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,12,REDA,"Reddy Ashwin",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,16,AYLB,"Aylward Bill",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,1,AYLB,"Aylward Bill",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,9,PALB,"Pal Bishwanath",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,5,LITB,"Little Brian",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,5,ALLB,"Allan Bruce",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,7,ALLB,"Allan Bruce",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,2,ALLB,"Allan Bruce",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
21,13,ALLB,"Allan Bruce",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
22,11,PAVC,"Pavesio Carlos",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
23,5,CUNC,"Cunningham Carol",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
24,9,EGAC,"Egan Catherine",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
25,14,CHIC,"Child Christopher",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
26,1,DANC,"Daniel Claire",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
27,3,DANC,"Daniel Claire",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
28,5,BESD,"Bessant David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
29,9,BESD,"Bessant David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
30,2,BESD,"Bessant David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
31,16,CHAD,"Charteris David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
32,5,GARD,"Gartry David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
33,7,GARD,"Gartry David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
34,8,GAHD,"Garway-Heath David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
35,3,VERD,"Verity David",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
36,8,KAMD,"Kamal Deborah",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
37,9,FLAD,"Flanagan Declan",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
38,9,THOD,"Thomas Dhanes",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
39,1,SIRD,"Siriwardena Dilani",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
40,8,SIRD,"Siriwardena Dilani",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
41,1,JONE,"Jones Emma",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
42,8,JONE,"Jones Emma",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
43,16,EZRE,"Ezra Eric",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
44,7,LARF,"Larkin Frank",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
45,2,LARF,"Larkin Frank",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
46,3,ROSG,"Rose Geoffrey",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
47,2,ADAG,"Adams Gill",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
48,12,ADAG,"Adams Gill",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
49,14,ADAG,"Adams Gill",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
50,15,PLAG,"Plant Gordon",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
52,14,THOG,"Thompson Graham",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
53,2,THOG,"Thompson Graham",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
54,8,GAZA,"Gazzard Gus",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
