id,name,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Congenital Cataract",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,"unnatural cataract",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,"Congenital Cataract",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,"unnatural cataract",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,Stroke,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,diabetes,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,ibuprofen,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,pollen,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,"drug use",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,alcoholism,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,"Loss of vision",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,"Peripheral field loss",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,"Distortion of vision",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,"Central vision disturbance",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,Mild,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,Moderate,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,Severe,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,"Gradual onset",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,"Sudden onset",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,"Right eye",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
21,"Left eye",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
22,"Both eyes",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
23,"1 day",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
24,"2-3 days",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
25,"1 week",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
26,"2 weeks",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
27,"1 month",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
28,"6 months",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
29,"1 year or more",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
30,"Topical treatment",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
31,Discharge,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
32,"Some treatment",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
33,"Decision to admit",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
34,Discharge,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
35,Review,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
36,"Refer to Cataract service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
37,"Refer to Glaucoma service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
38,"1 day",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
39,"2-3 days",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
40,"1 week",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
41,"2 weeks",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
42,"1 month",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
43,"6 months",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
44,"1 year or more",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
45,Referral,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
46,Emergency,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
47,Diagnosis,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
48,Consultant,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
49,"Contact Number",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
50,"Time Limit",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
