id,term,short_format,default_duration,snomed_code,snomed_term,last_modified_user_id,last_modified_date,created_user_id,created_date
1,Dacrocystogram,"DCG ",45,56087001,Dacryocystography,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,Dacrocystorhinostomy,DCR,75,231631004,"Dacryocystorhinostomy and insertion of tube",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,"Dacrocystorhinostomy - endonasal","DCR endo",90,231630003,"Intranasal dacryocystorhinostomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,"Lester Jones tube","LJ tube",45,231632006,"Insertion of Lester dacryocystorhinostomy tube",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,"Syringe and probe nasolacrimal duct",S&P,30,275151000,"S+P - Syringe and probe nasolacrimal duct",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,"Biopsy of lid - incisional","Bx lid",45,268413008,"Surgical biopsy of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,"Reconstruction of lid - local flaps","Lid recon & flaps",90,2242005,"Reconstruction of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,"Reconstruction of lid with graft","Lid recon & graft",90,68304009,"Reconstruction of eyelid with graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
11,"Blepharoplasty of upper lid","Bleph upper lid",40,46142005,"Blepharoplasty of upper eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
12,"Blepharoplasty of lower lid","Bleph lower lid",40,64293002,"Blepharoplasty of lower eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,"Blepharoplasty of both lids","Bleph both lids",80,76508002,Blepharoplasty,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,"Brow suspension with fascia lata","Brow susp AFL",90,265279001,"Correction of ptosis of eyelid using sling of fascia",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
15,"Brow suspension with synthetic material","Brow susp synth",75,30486002,"Sling operation on tarsus muscle of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
16,"Cryotherapy with Collin cryoprobe","Cryo Collin",45,87539000,"Cryotherapy of eyelid",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
17,"Cryotherapy with liquid nitrogen","Cryo Nitro",45,7430007,"Cryotherapy of skin lesion with liquid nitrogen",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
18,"Entropion correction - no graft",Ent,60,37625005,"Repair of entropion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
19,"Ectropion correction",Ectr,60,71408000,"Repair of eyelid ectropion ",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
20,"Ptosis correction - anterior levator excision","Pt Ant lev excn",60,265278009,"Levator palpebrae resection",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
21,"Tarsorrhaphy - lateral","Tars lat",45,172243002,"Lateral tarsorrhaphy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
22,"Decompression of orbit - 3 walls","Decomp 3",120,83639008,"Decompression of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
23,"Repair of orbital fracture","Orbital fracture",90,426236005,"Internal fixation of fracture of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
24,"Anterior orbitotomy - conjunctival approach","Ant Orb conj",90,231552001,"Anterior orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
26,"Lateral orbitotomy","Lat Orbitotomy",90,46082001,"Lateral orbitotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
27,"Biopsy of orbit","Orbital biopsy",45,446684002,"Biopsy of orbit proper",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
28,"Enucleation and implant","Enuc & impnlt",60,398031005,"Enucleation of eyeball with insertion of orbital implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
29,"Evisceration and implant","Evisc & Ball",90,29747000,"Evisceration of ocular contents with implant into scleral shell",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
30,Exenteration,Exent,180,397896001,"Exenteration of orbit",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
31,"Insertion of orbital floor implant",OFI,90,172183001,"Insertion of orbital floor implant",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
32,"Fornix reconstruction with mucus membrane graft","Fornix MMG",90,112960000,"Reconstruction of conjunctival cul-de-sac with graft",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
33,"Biopsy of conjunctiva - excisional","Bx exc cnj",30,193845004,"Excisional biopsy of conjunctiva",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
34,"Electrolysis of eyelash",Elctrlys,30,274996002,"Electrolysis of eyelash",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
35,"Incision and curettage of cyst",I&C,30,388289006,"Curettage of chalazion",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
36,Punctoplasty,"3 snp",30,172309008,"Enlargement of lacrimal punctum",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
37,"Fascia lata harvest","FL harvest",30,180751003,"Harvest of sheet of fascia from fascia lata",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
38,"Suture of cornea","Corneal suture",15,62428002,"Suture of cornea",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
40,"Removal of corneal suture","Corn sut removal",15,172423006,"Removal of corneal suture",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
41,"Anterior vitrectomy","Ant vity",20,172555009,"Anterior vitrectomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
42,Phakoemulsification,Phako,30,361191005,"Extraction of cataract by ultrasonic phacofragmentation",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
45,"Repositioning of IOL","Move IOL",20,231752003,"Repositioning of intraocular lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
46,"Removal of IOL","Remove IOL",30,88234006,"Removal of implant of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
47,Capsulectomy,Capsulectomy,30,63356004,"Capsulectomy of lens",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
48,"Anterior capsulotomy","Ant capsulotomy",30,422103004,"Can opener anterior capsulotomy",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
49,"Posterior capsulotomy","Post Capsulotomy",30,172530003,"Capsulotomy of posterior lens capsule",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
50,"Irrigation of anterior chamber","Irrigatn AC",30,49288009,"Irrigation of anterior chamber of eye",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
