id,theatre_id,start_date,start_time,end_time,end_date,repeat_interval,weekday,week_selection,last_modified_user_id,last_modified_date,created_user_id,created_date,consultant,paediatric,anaesthetist,general_anaesthetic
1,6,2011-09-05,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
2,6,2011-09-05,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
3,5,2011-08-29,09:30:00,13:00:00,,5,1,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
4,4,2011-09-16,08:30:00,13:00:00,,2,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
5,16,2011-09-07,13:30:00,18:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
6,17,2011-09-07,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
7,7,2011-09-07,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
8,7,2011-09-07,13:30:00,18:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
9,9,2011-09-05,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
10,18,2011-09-06,08:30:00,12:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
11,19,2011-09-06,13:30:00,17:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
12,18,2011-09-07,13:30:00,17:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
13,12,2011-09-06,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
14,5,2011-09-21,10:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
15,6,2011-09-23,08:30:00,13:00:00,,5,5,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
16,18,2011-10-24,13:30:00,18:00:00,,2,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
17,3,2011-10-25,13:30:00,18:00:00,,2,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
18,17,2011-09-22,08:30:00,13:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
19,8,2011-09-28,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
20,14,2011-09-23,08:30:00,17:30:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
21,5,2011-09-20,08:30:00,13:00:00,,5,2,8,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
22,4,2011-09-20,08:30:00,13:00:00,,5,2,23,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
23,1,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
24,18,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
25,3,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,1,1
27,4,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
28,9,2011-09-22,08:30:00,13:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
29,1,2011-09-20,08:30:00,13:00:00,,5,2,30,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
32,4,2011-09-22,08:30:00,17:30:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
33,3,2011-10-18,13:30:00,18:00:00,,2,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
35,7,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
36,8,2011-09-23,08:30:00,17:30:00,,5,5,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
37,5,2011-09-23,08:30:00,17:30:00,,5,5,26,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
38,4,2011-09-19,13:30:00,18:00:00,,5,1,26,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
39,18,2011-10-17,13:30:00,17:00:00,,2,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
40,19,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
41,18,2011-09-21,17:00:00,20:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
42,1,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
43,6,2011-09-21,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
44,3,2011-09-28,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
45,2,2011-09-22,08:30:00,13:00:00,,5,4,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
46,9,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
47,1,2011-09-22,08:30:00,13:00:00,,2,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
48,6,2011-09-29,08:30:00,13:00:00,,2,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
49,12,2011-09-19,08:30:00,13:00:00,,2,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
50,12,2011-09-19,13:30:00,18:00:00,,2,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
52,7,2011-09-23,08:30:00,17:30:00,,2,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
53,6,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
54,6,2011-09-23,08:30:00,13:00:00,,5,5,26,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
55,8,2011-10-18,08:30:00,13:00:00,,2,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
56,2,2011-10-26,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
57,2,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
58,4,2011-09-19,08:30:00,13:00:00,,5,1,28,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
61,18,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
62,9,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
63,9,2011-11-01,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
64,9,2011-09-19,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
66,6,2011-10-26,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
67,3,2011-09-21,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
68,2,2011-09-19,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
69,3,2011-09-22,08:30:00,17:30:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
70,5,2011-09-19,07:30:00,08:30:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
71,13,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
72,4,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
73,1,2011-09-19,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
74,7,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
75,7,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
76,19,2011-09-23,13:30:00,17:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
77,19,2011-09-23,08:30:00,12:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
78,14,2011-09-19,08:30:00,17:30:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
79,1,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,1,1
80,3,2011-09-28,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
81,7,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
82,15,2011-09-19,08:30:00,13:00:00,,5,1,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
83,15,2011-09-19,13:30:00,18:00:00,,5,1,7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
85,2,2011-09-20,08:30:00,13:00:00,,5,2,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
86,2,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
87,8,2011-09-23,08:30:00,13:00:00,,5,5,10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
88,9,2011-09-23,08:30:00,13:00:00,,5,5,21,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
89,6,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
90,6,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
91,12,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
92,12,2011-10-26,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
93,12,2011-10-26,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
94,16,2011-09-23,08:30:00,13:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
95,16,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
96,1,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
97,17,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
98,4,2011-09-19,09:30:00,13:00:00,,5,1,1,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
99,5,2011-09-19,09:30:00,13:00:00,,5,1,26,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
101,17,2011-09-21,13:30:00,18:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
102,4,2011-09-20,13:30:00,18:00:00,,2,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
103,8,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
104,8,2011-09-19,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
105,5,2011-09-22,11:00:00,13:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
106,5,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
107,12,2011-09-21,08:30:00,13:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
108,12,2011-09-21,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
109,17,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
111,2,2011-09-21,13:30:00,18:00:00,,2,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
112,6,2011-09-21,13:30:00,18:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
113,17,2011-09-23,08:30:00,13:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
114,3,2011-09-23,08:30:00,13:00:00,,2,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
115,3,2011-09-23,13:30:00,18:00:00,,5,5,1,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
116,18,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
117,18,2011-09-22,08:30:00,13:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
118,5,2011-09-23,08:30:00,13:00:00,,5,5,5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,1,1,1
120,2,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
121,9,2011-09-21,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
122,2,2011-09-23,08:30:00,13:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
123,2,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
124,9,2011-09-23,13:30:00,18:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",0,0,0,0
125,16,2011-10-19,08:30:00,13:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
127,16,2011-09-22,13:30:00,18:00:00,,1,4,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
128,16,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
129,16,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
130,17,2011-09-20,08:30:00,13:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
131,17,2011-09-20,13:30:00,18:00:00,,1,2,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
132,2,2011-09-19,08:30:00,13:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
133,13,2011-09-21,13:30:00,18:00:00,,1,3,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
134,18,2011-09-23,08:30:00,12:00:00,,1,5,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,0,0
135,7,2011-09-19,13:30:00,18:00:00,,1,1,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,0,1,1
