id,sequence_id,firm_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,134,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,2,134,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,3,12,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,4,17,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,5,17,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,6,17,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,7,14,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,8,14,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,9,27,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,10,2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
11,11,2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
12,12,2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,13,28,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,14,1,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
15,15,121,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
16,16,9,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
17,17,9,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
18,18,18,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
19,19,23,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
20,20,23,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
21,21,25,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
22,22,25,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
23,23,19,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
24,24,27,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
25,25,27,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
27,27,27,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
28,28,27,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
29,29,213,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
32,32,31,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
33,33,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
35,35,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
36,36,43,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
37,37,43,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
38,38,44,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
39,39,54,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
40,40,54,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
41,41,54,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
42,42,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
43,43,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
44,44,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
45,45,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
46,46,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
47,47,49,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
48,48,49,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
49,49,55,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
50,50,55,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
52,52,59,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
53,53,61,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
54,54,61,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
55,55,67,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
56,56,69,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
57,57,62,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
58,58,58,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
61,61,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
62,62,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
63,63,60,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
