id,name,code,short_name,address1,address2,address3,postcode,fax,telephone,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Moorfields City Road",A1,"City Road","162, City Road",,London,"EC1V 2PD",,"020 7253 3411",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,"Moorfields at Bedford hospital",A2,Bedford,"Bedford Hospital NHS Trust","Kempston Road",Bedford,"MK42 9DJ",,"01234 355122",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,"Moorfields at Ealing hospital",A3,Ealing,"Ealing Hospital","Uxbridge Road",Southall,"UB1 3HW","020 8574 3252","020 8967 5766",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,"Moorfields at Northwick Park hospital",A4,"Northwick Park","Northwick Park Hospital","Watford Road,",Harrow,"HA1 3UJ"," 020 8423 9588"," 020 8869 3160",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,"Moorfields at St George's hospital",A5,"St George's","St George's NHS Trust","Blackshaw Road",London,"SW17 0QT","8725 3026","020 8725 1794",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,"Moorfields at Mile End hospital",A6,"Mile End","Mile End Hospital","Bancroft Road",London,"E1 4DG","020 8980 9790","020 7377 7820",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,"Moorfields at Potters Bar Community hospital",A7,"Potters Bar","Potters Bar Community Hospital","Barnet Road","Potters Bar","EN6 2RY"," 01707 662 089","01707 646422",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,"Moorfields at Queen Mary's hospital, Roehampton",A8,"Queen Mary's",,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,"Moorfields at St Ann's hospital, Tottenham",A9,"St Ann's","St Ann's Hospital","St Ann's Road",London,"N15 3TH",,"020 7566 2841",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,"Moorfields at Bridge Lane health centre, Battersea",A1,"Bridge lane",,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,"Moorfields at Boots Opticians, Harlequin shopping centre, Watford",A1,Boots,,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,"Moorfields at Loxford polyclinic, Redbridge",A1,Loxford,"417 Ilford Lane",,Ilford,"IG1 2SN","020 8822 4291","020 8822 3700",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,"Moorfields at Nightingale House care home, Wandsworth",A1,Wandsworth,,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,"Moorfields at Teddington Memorial hospital",A1,Teddington,,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,"Moorfields at Upney Lane health centre, Barking",A1,"Upney lane","132 Upney Lane",,Barking,"IG11 9YD","020 8594 7132","020 8594 7131",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,"Moorfields at Visioncare eye medical centre, Wealdstone",A1,Visioncare,,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,"Moorfields at Mayday hospital, Croydon",A1,Croydon,"Mayday University Hospital","33 Mayday Road","Thornton Heath","CR7 7YE",,"020 8401 3486",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,"Moorfields at Homerton hospital, Hackney",A1,Homerton,"Homerton Hospital","Homerton Row",Hackney,"E9 6SR","020 8510 7608","020 8510 5555",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,"Moorfields at Princess Alexandra hospital, Harlow",A1,Harlow,,,,,,,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,"Moorfields at Watford general hospital",A2,Watford,"Watford General Hospital","Vicarage Road",Watford,"WD18 0HB",,"020 7566 2970",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
