id,name,ref_spec,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Accident & Emergency",AE,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,Adnexal,AD,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,Anaesthetics,AN,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,Cataract,CA,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,Cornea,CO,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,External,EX,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,Glaucoma,GL,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,"Medical Retinal",MR,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,Neuro-ophthalmology,PH,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,Oncology,ON,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,Paediatrics,PE,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,"Primary Care",PC,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,Refractive,RF,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,Strabismus,SP,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,Uveitis,UV,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,Vitreoretinal,VR,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
