id,site_id,name,restriction,code,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,Mackellar,9,WM,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,1,Sedgwick,10,SDCU,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,1,Childrens,7,WC,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,1,"Minor Ops",0,MOPS,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,1,"Refractive laser",0,REL,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,3,Brunel,31,EA1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,4,"VanGuard Mobile Operating Theatre",31,NP1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,5,"Duke Elder",11,SG1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,5,"St Georges Jungle Ward",7,SGJ,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,6,"Mile End Day Care Unit",31,ME1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,7,"Potters Bar TC",31,PB1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,9,"Moorfields Day Unit, St Anns",31,SA1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
